"author_id","book_id","author_name","author_gender","birthplace"
"40822","9487","Karen Kingsbury","F",""
"40822","6050894","Karen Kingsbury","F",""
"38529","311164","Georgette Heyer","F"," United Kingdom"
"36913","24876258","Jim Butcher","M"," United States"
"42377","80631","Greg Iles","M","Germany"
"38000","22028","Mario Puzo","M"," United States"
"37891","15990489","Maeve Binchy","F","Ireland"
"36663","15743075","Sylvia Day","F"," United States"
"46751","13549445","Roberta Kagan","M"," United States"
"38025","18523711","Laurann Dohner","M",""
"36672","17234659","Claudia Gray","M"," United States"
"37126","165782","Alice Hoffman","M"," United States"
"37285","274400","Laurie R. King","F"," United States"
"36629","7831145","Nalini Singh","M","Fiji"
"37043","58893","Tamora Pierce","M"," United States"
"37043","153783","Tamora Pierce","M"," United States"
"40822","870461","Karen Kingsbury","F",""
"37065","286136","Obert Skye","M"," United States"
"36697","93729","Meg Cabot","F"," United States"
"38153","71869","John Marsden","M","Australia"
"38492","7519640","Sebastian Junger","M"," United States"
"36575","2214574","Ursula K. Le Guin","F"," United States"
"40560","7163862","Lauren Beukes","F","South Africa"
"38088","8662135","Lisa Mantchev","F"," United States"
"41071","97860","David Wiesner","M"," United States"
"43680","79484","Karleen Koen","M"," United States"
"48212","1438096","William Nicholson","M"," United Kingdom"
"43662","39097","Susan Carroll","M"," United States"
"38078","1783289","Kate Brian","M"," United States"
"36697","7704979","Meg Cabot","F"," United States"
"36627","24764","Scott Westerfeld","M"," United States"
"41934","1891296","Chris d'Lacey","M"," United Kingdom"
"42187","294042","James Rollins","M"," United States"
"38904","8685644","Alyxandra Harvey","F","Canada"
"37410","15549","Terry Brooks","M"," United States"
"40690","10414941","Robert K. Massie","M"," United States"
"45394","10065348","Matt Myklusch","M"," United States"
"45394","11242368","Matt Myklusch","M"," United States"
"37211","19286623","Kylie Scott","M","Australia"
"40450","100629","Dalai Lama XIV","M","Tibet"
"42402","28978","Donna Leon","F"," United States"
"36697","7943678","Meg Cabot","F"," United States"
"42648","167302","William Trevor","M","Ireland"
"38529","311308","Georgette Heyer","F"," United Kingdom"
"37978","16356","Agatha Christie","F"," United Kingdom"
"38153","82553","John Marsden","M","Australia"
"36546","16130758","Maria V. Snyder","F"," United States"
"36810","13425352","Pittacus Lore","M",""
"40670","922119","Lisa Marie Rice","F",""
"37993","5350","John Grisham","M"," United States"
"36850","294285","Whitley Strieber","M"," United States"
"37872","22852698","Mark  Lawrence","M"," United States"
"38570","457762","William Steig","M"," United States"
"45476","618924","Karen Essex","M"," United States"
"36600","13151","James Patterson","M"," United States"
"42191","402","Don DeLillo","M"," United States"
"40462","244475","Kay Hooper","F"," United States"
"40853","12447","Thomas Wolfe","M"," United States"
"36697","85993","Meg Cabot","F"," United States"
"36857","3942622","Lynsay Sands","F","Canada"
"40412","47241","Wen Spencer","F"," United States"
"37046","339026","P.B. Kerr","M"," United Kingdom"
"38586","37451","Cecily von Ziegesar","F"," United States"
"39705","11273356","Evangeline Anderson","F",""
"38172","13075513","Kallypso Masters","F"," United States"
"37978","140278","Agatha Christie","F"," United Kingdom"
"38788","137098","Hester Browne","M"," United Kingdom"
"38078","2206960","Kate Brian","M"," United States"
"43582","50725","Nancy Mitford","F"," United Kingdom"
"36894","1933181","Alison Weir","F"," United Kingdom"
"38280","13806","R. Scott Bakker","M","Canada"
"37820","12700306","Kevin Hearne","M"," United States"
"36698","17558817","Jennifer L. Armentrout","F"," United States"
"41435","13570639","Jenni James","M"," United States"
"44494","45234","Hugh Laurie","M"," United Kingdom"
"36599","6420","Janet Evanovich","M"," United States"
"45394","13012638","Matt Myklusch","M"," United States"
"36700","10222362","Debra Driza","M",""
"37231","7958","Orson Scott Card","M"," United States"
"39091","93794","Daniel Silva","M","Michigan"
"37676","943903","James Herriot","M"," United Kingdom"
"43037","545875","Lisa Jackson","M"," United States"
"41702","149621","Alistair MacLean","M"," United Kingdom"
"37918","11750412","Jennifer Lynn Barnes","F"," United States"
"41550","15815333","Meg Wolitzer","M"," United States"
"36810","11237412","Pittacus Lore","M",""
"40739","127028","Booth Tarkington","M"," United States"
"38776","177523","Thomas Paine","M","England"
"39159","13605496","Sherri Hayes","F"," United States"
"45612","17735","M. John Harrison","M"," United Kingdom"
"39252","22693811","Jeanne Birdsall","F",""
"36864","153193","MaryJanice Davidson","F"," United States"
"40831","10329483","Julie Lessman","F",""
"37486","2917367","Patricia A. McKillip","F"," United States"
"43690","782898","Susan Howatch","F"," United Kingdom"
"48027","117904","رضا قاسمی","M","Iran"
"37225","13438524","Barbara Kingsolver","F"," United States"
"39159","15710495","Sherri Hayes","F"," United States"
"38140","137972","Christopher Pike","M"," United States"
"43954","15814479","Scott Blagden","M","Poland"